id,symbol,name,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h_in_currency,volatility_score,speculation_score,liquidity_score,shariah_risk_score,classification
bitcoin,btc,Bitcoin,74133.0,1484125791547,45010643964.0,20016215.0,-1.4722798199253015,1.0,0.07918823635803916,1.0,0.7237564709074118,high_risk
ethereum,eth,Ethereum,2336.82,282042372008,18485892967.0,120690956.9570293,-1.2686195089740897,0.0681133832010821,0.17113633710159604,0.0681133832010821,0.09902026937123627,halal_candidate
tether,usdt,Tether,1.0,185506998032,71046737677.0,185477350936.1545,-0.0409104250914822,0.00017034132020174933,1.0,0.00017034132020174933,0.3001192389241412,halal_candidate
ripple,xrp,XRP,1.38,84471907476,2276055350.0,61405531717.0,-0.2546522549580599,1.6483220769159252e-05,0.07035365661684653,1.6483220769159252e-05,0.02111763523959237,halal_candidate
binancecoin,bnb,BNB,618.38,83317109030,1284732647.0,134786901.8,-0.218514867935249,0.004238691597183854,0.04026194255235351,0.004238691597183854,0.015045666883734751,halal_candidate
usd-coin,usdc,USDC,0.999827,78515014048,18321244001.0,78526579489.06093,0.0010504195982302,0.00010375404340165113,0.6092820766991122,0.00010375404340165113,0.18285725084011478,halal_candidate
solana,sol,Solana,84.25,48459262892,4081602523.0,575141012.3463002,-2.5271032897914574,0.0031558992049963504,0.21992270195225094,0.0031558992049963504,0.06818594002917272,halal_candidate
tron,trx,TRON,0.326575,30958113426,649752684.0,94774359192.72208,1.5722667212281778,3.0487651963707255e-06,0.05480116003525973,3.0487651963707255e-06,0.016442482146215378,halal_candidate
figure-heloc,figr_heloc,Figure Heloc,1.027,17237025062,74284884.0,16776297600.677,0.0680097397193379,1.969114999665252e-06,0.011252636585064126,1.969114999665252e-06,0.003377169356019003,halal_candidate
dogecoin,doge,Dogecoin,0.093964,14461118121,1359623980.0,153841056383.7052,-2.363752736359509,3.930187905622533e-06,0.24548960035581163,3.930187905622533e-06,0.07364963123827742,halal_candidate
whitebit,wbt,WhiteBIT Coin,54.38,11603325109,58621401.0,213418274.0,-1.6498843431054118,0.00012214940075380256,0.013191369621498021,0.00012214940075380256,0.0040429154669770675,halal_candidate
usds,usds,USDS,0.999838,11376352033,34207649.0,11378204572.56451,-0.0028553939687638,1.3369533137075048e-06,0.007851205800010119,1.3369533137075048e-06,0.0023562976073226312,halal_candidate
hyperliquid,hype,Hyperliquid,44.61,10623799372,320898187.0,238385315.9541414,1.4742703864256357,0.000598624536692021,0.07886849609641194,0.000598624536692021,0.024079586004607998,halal_candidate
leo-token,leo,LEO Token,10.14,9342121449,473741.0,920837314.9,0.1577187817011334,2.287835606064559e-07,0.00013240720565518168,2.287835606064559e-07,3.9882310188979024e-05,halal_candidate
cardano,ada,Cardano,0.242288,8952416151,369314548.0,36954807980.68808,-1.5372732524429489,4.444185910769405e-06,0.10771403878757106,4.444185910769405e-06,0.03231732256640885,halal_candidate
bitcoin-cash,bch,Bitcoin Cash,437.01,8747792432,210504952.0,20021449.89665078,-0.9081463190678032,0.004675558799320807,0.06283187268693467,0.004675558799320807,0.022122452965604965,halal_candidate
chainlink,link,Chainlink,9.19,6679501012,276167990.0,727099970.4523476,0.0371362172128165,0.00016890634492420855,0.10795567463602296,0.00016890634492420855,0.03250493683225383,halal_candidate
monero,xmr,Monero,344.62,6353051562,121015645.0,18446744.07370955,-2.846657048353374,0.002917349939696387,0.04973650871166544,0.002917349939696387,0.016963097571287104,halal_candidate
zcash,zec,Zcash,356.4,5936983785,356819089.0,16656784.5405448,-1.625949412142388,0.009526286496646767,0.15692725351005635,0.009526286496646767,0.053746576600669636,halal_candidate
canton-network,cc,Canton,0.153093,5863080744,57017773.0,38315076042.99518,-1.159700677121393,6.617703595140394e-07,0.02539221181047921,6.617703595140394e-07,0.007618126782395423,halal_candidate
ethena-usde,usde,Ethena USDe,1.0,5829127265,95065288.0,5828215357.986168,-0.0156116987614695,7.253592100062702e-06,0.04258283656516014,7.253592100062702e-06,0.012779928484018085,halal_candidate
stellar,xlm,Stellar,0.156193,5173664986,88257777.0,33114809152.14737,-0.5586858252715949,1.1852159313191546e-06,0.044542115315927125,1.1852159313191546e-06,0.01336346424593006,halal_candidate
memecore,m,MemeCore,2.89,5076623333,10756366.0,1757830227.902167,2.532404119669793,2.7211682507149578e-06,0.005532313551381856,2.7211682507149578e-06,0.001661598883190057,halal_candidate
dai,dai,Dai,0.999464,4365732273,90139651.0,4368054056.784072,0.0032019688616503,9.176870863355172e-06,0.05391069487294088,9.176870863355172e-06,0.01617963227148661,halal_candidate
litecoin,ltc,Litecoin,55.04,4242079009,374817511.0,77061995.73347135,0.1799159585849702,0.002162949437532184,0.23070514290525376,0.002162949437532184,0.07072560747784866,halal_candidate
usd1-wlfi,usd1,USD1,0.999557,4085382547,965724386.0,4090558720.352435,-0.0271949553727136,0.00010498743350487402,0.6172152180890196,0.00010498743350487402,0.1852380566301593,halal_candidate
avalanche-2,avax,Avalanche,9.43,4073521298,316513903.0,431771961.1772119,0.0620856665188286,0.00032599062200174667,0.20287986939424435,0.00032599062200174667,0.06109215425367452,halal_candidate
paypal-usd,pyusd,PayPal USD,1.0,4071735213,57184835.0,4070657909.211766,0.0226971712568587,6.247165597377819e-06,0.03667055653159854,6.247165597377819e-06,0.011005539975397728,halal_candidate
rain,rain,Rain,0.00798152,3818163670,13413657.0,478359189174.09753,0.5353708991824716,1.2469809770987165e-08,0.009172945483660244,1.2469809770987165e-08,0.0027518923739649126,halal_candidate
sui,sui,Sui,0.95096,3758295975,276885644.0,3953388932.071221,-0.0428696475693809,3.1145667960803355e-05,0.19236480505045983,3.1145667960803355e-05,0.05773124348271051,halal_candidate
hedera-hashgraph,hbar,Hedera,0.086106,3724579808,67122072.0,43321902768.32876,-1.048728288840353,6.890085062321079e-07,0.047054831915500965,6.890085062321079e-07,0.014116931880604651,halal_candidate
shiba-inu,shib,Shiba Inu,5.91e-06,3484399314,112295342.0,589243503461048.9,-1.3802828212617069,8.474882617518132e-11,0.08414919760498411,8.474882617518132e-11,0.02524475934081941,halal_candidate
the-open-network,ton,Toncoin,1.37,3394969308,114085808.0,2483311301.266108,-4.620887829024179,2.0429945590225035e-05,0.08774288838959306,2.0429945590225035e-05,0.026337167478791074,halal_candidate
ravedao,rave,RaveDAO,13.27,3265229060,340270698.0,248044444.0,-17.325338770385677,0.0006100448977246484,0.2720990688280467,0.0006100448977246484,0.08205675207682125,halal_candidate
crypto-com-chain,cro,Cronos,0.068815,2912816936,13014345.0,42354312834.90525,-2.379342457509422,1.3664427094696909e-07,0.011666088880425798,1.3664427094696909e-07,0.003499922315117402,halal_candidate
hashnote-usyc,usyc,Circle USYC,1.12,2832380424,112099.0,2526682445.757202,-0.218514867935249,1.972957943410259e-08,0.00010333948928150714,1.972957943410259e-08,3.101565749005601e-05,halal_candidate
tether-gold,xaut,Tether Gold,4794.25,2684663226,407467382.0,559898.736688,0.3679649271101476,0.32363042103732576,0.39629554622484453,0.32363042103732576,0.3454299585935814,halal_candidate
world-liberty-financial,wlfi,World Liberty Financial,0.080028,2541663481,114349843.0,31762866592.0,-2.493538962395062,1.6009679385391555e-06,0.11747181536977194,1.6009679385391555e-06,0.03524266528848856,halal_candidate
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2494307169,0.0,2494307169.280448,0.0,0.0,0.0,0.0,0.0,halal_candidate
pax-gold,paxg,PAX Gold,4808.19,2374056107,296532251.0,493648.962,0.4498198753875371,0.26712810236195,0.3261347774058459,0.26712810236195,0.2848301048751188,halal_candidate
bittensor,tao,Bittensor,245.72,2358875618,297893911.0,9597491.0,-2.472329017511388,0.01380290884916688,0.3297408410756528,0.01380290884916688,0.10858428851711266,halal_candidate
global-dollar,usdg,Global Dollar,0.999903,2194250963,26286647.0,2194590280.869784,-0.0089379012496597,5.32658048874267e-06,0.031279878104924476,5.32658048874267e-06,0.009387692037819462,halal_candidate
mantle,mnt,Mantle,0.660624,2165634712,30984610.0,3277944055.53684,-2.198127048270925,4.2035019120435636e-06,0.03735742959869519,4.2035019120435636e-06,0.011210171330946987,halal_candidate
